Description,Product Group,Product ID,CasePerPallet,KgPerCase,ShelfLifeInDays,NetSalesValuePerCase (VND),COGSPerCase
MILO Chocolate Malt Cup 18x55g TH,CUP,12385000,270,0.99,730,157000,47100
MILO Magma Stick 36x55g TH,STICK,12383255,270,1.98,730,262000,86460
Extreme NAMA Salted Caramel stick 24x65g TH,STICK,12397405,270,1.56,730,314000,103620
OREO Stick 18x60 g. TH,STICK,12383253,270,1.08,730,270000,89100
Extreme Nama DarkChocBrowniesStk24x65gTH,STICK,12435405,220,1.56,730,360000,118800
MILO Chocolate Malt Stk 60x51g TH,STICK,12291880,200,3.06,730,436000,143880
OREO Mint Stick 18x60g TH,STICK,12435418,270,1.08,730,267000,88110
KIT KAT Ice Cream Stick 24x85ml XO,STICK,12425670,171,2.04,365,419000,138270
KIT KAT Pint 6x375gTH,PINT,12271026,156,2.25,365,472000,165200
NESTLE Mint Choc Pint 6x375g TH,PINT,12346178,156,2.25,730,447000,156450
MILO Pint 6x375gTH,PINT,12271016,156,2.25,730,393000,137550
OREO Pint 12x240 g. TH,PINT,12383250,112,2.88,730,709000,248150
La Frutta Frozen Yogurt Pint 12x240g.TH(450ml),PINT,12408968,112,2.88,180,698000,244300
NESTEA ICE CREAMRaspberryHib6(6x100ml)VN,NESTEA IC,12404984,112,3.89,365,218000,65400
NESTEA ICE CREAM Lemon 6x(6x100ml)VN,NESTEA IC,12405048,112,3.89,365,218000,65400
NESTEA ICE CREAM Milk Tea 6(6x100ml)VN,NESTEA IC,12404985,112,3.89,365,327000,98100
OREO Cone 20x110ml (Single Serve),CONE,12382307,252,1.43,180,327000,107910
NESTLE KITKAT Cone 22x80g TH,CONE,12256816,200,1.76,180,320000,105600
MILO Medium Cone 28x46g TH,CONE,12271540,270,1.29,180,244000,80520
OREO Sandwich 36x60g TH,SANDWICH,12426559,153,2.16,730,576000,155520
NESTLE MOCHI Cup Salted Egg 30x50g VN,SANDWICH,12477101,153,1.5,365,450000,121500
NESTLE MILO Stk FznConf MP12(6x60ml) XO,MULTIPACK,12300362,84,3.43,365,545000,152600
NESTLE OREO Cone 12(4x110ml) XO,MULTIPACK,12400821,84,3.43,730,807000,225960
